Name,category,Specials,Description,HP,To Target,Armor V,STR,DEX,INT,PRE,statblock
Legmapheg,Mutant,"Web Maker, Sticky, Poisonous (Bite)",2m tall spider body with a human torso and arms. Don't be fooled. Does not think like a human. Lemaphegs live in colonies with mud homes and feed on humanoids. No one knows how they communicate.,12,-,0,4,4,2,3,4/4/2/3
Longchook,Mutant,"2 attacks per Turn, Mind Blast, Constrictor, Bioluminescence","2m tall day-glo orange ape with 4 tentacles. Glows in the dark, too.",50,-,0,7,4,-,3,7/4/-/3
Mister Boots,Mutant,Exoskeleton,"Cockroach that looks like a guy in a long coat and boots. Found in urban ruins and crowded settlements. Will stand quietly until approached, then unfold and attack with claws and mandibles. Wherever they are seen, there will be a nest of 6-36 somewhere nearby.",8,-,1,3,5,0,3,3/5/0/3
Moss Hog,Mutant,"Immunities: Fire, Cold, Electricity, Acid, Radiation","10m tall tardigrade. Eight clawed legs. Tubelike mouth full of long dagger teeth. Often found near giant moss. All attacks do 2d6 damage. Will eat anyting that moves. Only injured by slashing, bludgeoning, or piercing damage.",70,Easy,0,6,3,-,2,6/3/-/2
Mutant - Big,Mutant,"1 - 3 animal bases, 1-2 mutations.",2 - 4m tall.,30,-,0,5,4,0,3,5/4/0/3
Mutant - Enormous,Mutant,"1 - 3 animal bases, 1-3 mutations.",4 - 10m tall or more.,90,Easy,0,8,5,0,3,8/5/0/3
Mutant - Humanoid,Mutant,"0-2 animal stocks, 1-3 mutations",A human who has been mutated. Add 1d6-4 animal stocks. Add 1-3 mutations.,15,-,0,3,3,3,3,3/3/3/3
Mutant - Small,Mutant,"1 - 3 animal bases, 1-2 mutations.",10cm - 2m tall.,10,-,0,3,3,0,3,3/3/0/3
Pellion,Mutant,"Night Vision, Heightened Senses, Leap","Pellions are a cross between a rat and a pomeranian dog, but the size of a German shepherd. Feral, they move in packs. They are sometimes domesticated as guard or companion animals.",3,Hard,0,2,4,0,3,2/4/0/3
Shockworm,Mutant,"Burrower, Breath Weapon: Lightning",Tapeworm/skink hybrid. 7m long with two front limbs and a pointed face covered with teeth. Bursts up through the ground to attack. Attracted to the vibrations and smell of humanoids.,20,-,,5,3,0,3,5/3/0/3
Spittlebob,Mutant,"Sticky, Acid Spit",Cow-sized amoeba. Hides in/under things or drops from high places. Envelopes prey. Bladed and piercing weapons do half damage. Envoloped prey takes 1d6 damage per turn and must make an opposed STR check to escape. Danger Die 1 on attack means your weapon is stuck in the spittlebob.,30,-,0,6,2,-,2,6/2/-/2
Spurgeon,Mutant,Chameleon Skin,"An aquatic cactus that swims like a fish. Shaped like a 5m long gar, with a long, toothy snout. Spurgeon blend into shallow water and pull waders under.",20,-,1,5,3,0,3,5/3/0/3
Squatter Bulb,Mutant,Prehensile Nose,A very large species of deep sea angler that has mutated to come out of the water. A vacuum bladder allows it to float and swim through the air. Will hide in foliage or rubble and pick up shiny artifacts with its prehensile nose lamp to dangle them as bait.,25,-,0,4,3,0,3,4/3/0/3
Toddrels,Mutant,Pick Pocket,"1m tall squirreloids. Travel in packs. Very descructive. Will swarm a group or camp and root through all their belongings, throwing things everywhere. 3 in 6 chance of  1-3 belongings missing after attack subsides, if any toddrels get away.",4,Hard,0,2,5,0,3,2/5/0/3
Human - Archmage,People,Spells: Any 15,"A powerful magic user, in any genre or period.",50,-,0,4,5,6,5,4/5/6/5
Human - Assassin,People,"Stealthy, Deadeye",Specialized killer. Brought in by a boss when they need heavy lifting.,39,-,0,4,6,4,3,4/6/4/3
Human - Civilian,People,,Normal Jane or Joe.,3,-,0,3,3,3,3,3/3/3/3
Human - Crime Boss,People,,"Generic Boss. Smart, tough, and in charge.",30,-,0,5,5,5,5,5/5/5/5
Human - Cult Leader,People,,"Evil, tough, smart, and charismatic.",25,-,0,3,3,5,5,3/3/5/5
Human - Cultist,People,,Devoted to strange belief and/or charismatic leader.,3,-,0,3,3,2,3,3/3/2/3
Human - Druid,People,"Shapeshift - Animal, Spells: 2 Nature Spells",,14,-,0,4,4,4,4,4/4/4/4
Human - Henchman,People,,Generic weak henchman. General use. Lowest of the low. Easily beaten or scared away. Adjust stats where appropriate.,3,-,0,4,3,2,2,4/3/2/2
Human - Knight,People,2 attacks per Turn,"Armed with heavy weapons, and armor. AV may be 1, 2, or 3.",26,-,0,6,4,3,4,6/4/3/4
Human - Magic User,People,Spells: Any 5,An person who has learned some basic magic. Could be from any genre or time period.,20,-,0,3,3,5,3,3/3/5/3
Human - Spy,People,"Disquise, Stealthy","A basic espionage agent. Quick, tough, smart, and confident.",14,-,0,4,5,4,5,4/5/4/5
Human - Thug,People,,A baddie's captain. Stronger and tougher than they are smart.,16,-,0,5,4,3,3,5/4/3/3
Human - Tough,People,,"A soldier, guard, police officer, beat cop, bandit, etc. Basic fighting skills.",6,-,0,4,4,3,3,4/4/3/3
Human - Veteran Soldier,People,Deadeye,"Seasoned veteran soldier, gang member, police detective,  etc. A good shot.",29,-,0,5,5,3,4,5/5/3/4
Allosaurus,Prehistoric,,Smaller and quicker than the T-Rex.,26,Easy,0,7,5,0,2,7/5/0/2
Ankylosaurus,Prehistoric,,"Hard shell armor, and a clubbed or spiked tail.",34,Easy,3,7,4,0,2,7/4/0/2
Axe Beak,Prehistoric,,"Like an extra big ostrich with a square, sharp beak.",10,Easy,0,5,4,-,2,5/4/-/2
Caveman,Prehistoric,Heightened Smell,Just like in the movies.,8,-,0,6,3,1,3,6/3/1/3
Plesiosaurus,Prehistoric,,"Aquatic, long neck, fins. Think Loch Ness Monster.",34,Easy,0,6,5,0,2,6/5/0/2
Pterodactyl,Prehistoric,,Flying carnivore. Able to lift a up human sized victim.,7,-,0,7,5,0,3,7/5/0/3
Saber-Toothed Tiger,Prehistoric,,"Huge cat with 7"" fangs.",26,Easy,0,6,5,-,3,6/5/-/3
Triceratops,Prehistoric,,"Herbivorous, but very dangerous. Three big horns and a frill shield.",48,Easy,2,8,3,0,2,8/3/0/2
Tyrannosaurus Rex,Prehistoric,,4m – 6m tall. Huge teeth. Always hungry.,68,Easy,0,9,4,0,3,9/4/0/3
Wooly Mammoth,Prehistoric,,3.5m tall elephant covered with hair.,63,Easy,0,8,3,-,2,8/3/-/2
Ghost,Undead,Spell: Fear,Cannot be harmed by conventional means. Usually bound to a location.,20,-,0,3,3,3,4,3/3/3/4
Ghoul,Undead,,"Undead corpse. Quick, reactive, and frenzied. Hungers for human flesh. Heals 1 HP per turn.",11,-,0,5,5,0,2,5/5/0/2
Lich,Undead,,"An undead sorcerer, bent on power and destruction. Only injured by magic and magical weapons. Uses magic. May command a band, or even and army of undead creatures.",65,-,0,4,6,6,5,4/6/6/5
Mummy Lord,Undead,"Command, Special: Summons Wasp Swarms",Wants to assimilate organs to become living. Suffers half damage from blades. Has Command Skill. Can Summon a swarm of wasps.,50,-,0,6,4,3,5,6/4/3/5
Mummy Noble,Undead,Command ,Wants to assimilate organs to become living. Suffers half damage from blades. Has Command Skill.,35,-,0,6,3,3,4,6/3/3/4
Mummy - Common,Undead,,Just a mummy. Suffers half damage from blades. ,20,-,0,6,3,2,3,6/3/2/3
Revenant,Undead,"Regeneration, Spells: Fear","An undead body, but intelligent and driven by revenge and hatred. Will dress and act as a normal person, but close interaction will betray an eerie wrongness. Regenerates 3 HP per turn. ",68,-,0,6,5,4,5,6/5/4/5
Skeleton,Undead,,Typically armed with swords or bows. Blade weapons and bullets do half damage against a skeleton.,7,-,0,4,5,0,2,4/5/0/2
Vampire,Undead,"Command, Hypnotic Suggestion, Spells: Wisp, Animal form: wolf, bat","Any vampire stuff you can think of applies. Can change into wolf or bat. Has Command skill. Will drink the blood of victims, if able. Prolonged use of victim for blood without killing them makes them become a vampire. Only damaged by silver weapons or magic. Is destroyed by sunlight. Hates garlic and holy symbols. No reflection in mirrors. Have to sleep in a coffin. Regenerate 3 HP per turn. If reduced to 0 HP, will turn into a cloud of mist and return to coffin. Must have stake driven through heart to be really dead.",72,-,0,6,6,5,5,6/6/5/5
Vampire Thrall,Undead,Sticky,Under the control of a vampire. Hopes to become a vampire. Can crawl on walls and ceilings. ,41,-,0,3,3,3,2,3/3/3/2
Wight,Undead,,"Undead corpse half in the another plane, half in this world. Only harmed by silver weapons or magic. Hates the living. On being touched by a wight, the target must make a successful STR check or lose 1 level and associated HP. Being reduced to level 0 causes target to enter a coma and become a wight in 1d6 days. Uncurse spell will return them to Level 1.",23,-,0,5,5,3,4,5/5/3/4
Wraith,Undead,,"Incorporeal evil. Only damaged by silver weapons, magic weapons, or magic. Successful attack and danger die 1 or 2 causes victim’s STR to drop to 1 for 24 hours.",34,-,0,2,6,4,4,2/6/4/4
Zombie,Undead,,"Slow and mindless. Immune to injury except for the brain. Easy to hit, hard to injure.",1,Hard,3,5,2,0,1,5/2/0/1
Ether Gaunt,Xenoplanar,"Psychic Vampire, Teleport","Tall, faceless, black ether-devils with long tails. They come when you’re sleeping.",15,-,0,3,3,5,3,3/3/5/3
Horror - Major,Xenoplanar,"3 Random Specials, 3 Spells","Huge. 15m tall. Always angry. Always hungry. May command 2-12 minions. All attacks do 3d6 damage. Has 3 specials, and knows at least 3 spells.",150,Easy,0,9,4,6,6,9/4/6/6
Horror - Minion,Xenoplanar,1 Random Special,1 - 2m tall. Xenoplanar peon. Has 1 special. Fast and hard to hit.,10,Hard,0,3,6,2,3,3/6/2/3
Horror - Minor,Xenoplanar,"2 Random Specials, 1 Spell",5m tall. Usually pretty worked up. All attacks do 2d6 damage. Has 2 specials and knows at least 1 spell.,75,Easy,0,6,4,4,4,6/4/4/4
Horror - Thrall,Xenoplanar,none,"A human who has sworn allegiance to a xenoplanar horror and has undergone transformation. Stronger, weirder. May know 2 spells. Regenerates 3 HP per turn. Looks normal, but may be hiding 1-3 surreal bits from list.",12,-,0,5,3,3,3,5/3/3/3
Moon-Beast,Xenoplanar,Sticky Tongue,"Large, putrid toad creatures with trans-dimensional ships. Slave traders. Love rubies.",10,-,0,5,4,3,1,5/4/3/1
